Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1974,1974,t,22473008,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1975,1975,t,22339200,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1976,1976,t,23300944,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1977,1977,t,23347136,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1978,1978,t,25771600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1979,1979,t,26282656,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1980,1980,t,29651904,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1981,1981,t,32774176,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1982,1982,t,33583696,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1983,1983,t,35303008,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1984,1984,t,38136448,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1985,1985,t,39032944,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1986,1986,t,39726768,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1987,1987,t,40078192,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1988,1988,t,41676176,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1989,1989,t,44725584,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1990,1990,t,45178752,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1991,1991,t,44688240,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1992,1992,t,48240008,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1993,1993,t,48181088,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1994,1994,t,46641500,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1995,1995,t,49744140,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1996,1996,t,51101504,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1997,1997,t,49377056,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1998,1998,t,49236700,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,1999,1999,t,50866388,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2000,2000,t,51898000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2001,2001,t,50460800,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2002,2002,t,51489696,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2003,2003,t,52137600,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2004,2004,t,54088468,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2005,2005,t,54151096,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2006,2006,t,54454936,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2007,2007,t,54591000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2008,2008,t,57661000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2009,2009,t,59014000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2010,2010,t,59283000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2011,2011,t,58259000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2012,2012,t,59705000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2013,2013,t,60095000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2014,2014,t,59059000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2015,2015,t,61031000,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2016,2016,t,54031000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2017,2017,t,55252000,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2018,2018,t,59200534,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2019,2019,t,54604033,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2020,2020,t,54649202.24,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2021,2021,t,54415294.22,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2022,2022,t,54748977.08,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2023,2023,t,53980993,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5510,Production,113,Rice,2024,2024,t,53142727,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1961,1961,kg/ha,1762.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1962,1962,kg/ha,1785.5,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1963,1963,kg/ha,1722.6,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1964,1964,kg/ha,1763,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1965,1965,kg/ha,1770.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1966,1966,kg/ha,1774.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1967,1967,kg/ha,1759.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1968,1968,kg/ha,2139.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1969,1969,kg/ha,2248.7,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1970,1970,kg/ha,2376.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1971,1971,kg/ha,2425.4,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1972,1972,kg/ha,2455.6,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1973,1973,kg/ha,2557.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1974,1974,kg/ha,2641.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1975,1975,kg/ha,2629.7,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1976,1976,kg/ha,2784.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1977,1977,kg/ha,2792.9,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1978,1978,kg/ha,2886.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1979,1979,kg/ha,2985.5,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1980,1980,kg/ha,3292.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1981,1981,kg/ha,3493.4,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1982,1982,kg/ha,3736.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1983,1983,kg/ha,3853,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1984,1984,kg/ha,3906,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1985,1985,kg/ha,3941.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1986,1986,kg/ha,3977.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1987,1987,kg/ha,4039.1,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1988,1988,kg/ha,4110.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1989,1989,kg/ha,4247,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1990,1990,kg/ha,4301.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1991,1991,kg/ha,4346.5,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1992,1992,kg/ha,4344.6,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1993,1993,kg/ha,4375,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1994,1994,kg/ha,4345.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1995,1995,kg/ha,4348.7,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1996,1996,kg/ha,4416.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1997,1997,kg/ha,4432.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1998,1998,kg/ha,4197.4,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,1999,1999,kg/ha,4251.9,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2000,2000,kg/ha,4400.7,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2001,2001,kg/ha,4387.9,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2002,2002,kg/ha,4469.1,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2003,2003,kg/ha,4542.6,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2004,2004,kg/ha,4536.5,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2005,2005,kg/ha,4573.9,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2006,2006,kg/ha,4620.1,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2007,2007,kg/ha,4646.8,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2008,2008,kg/ha,4916.5,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2009,2009,kg/ha,5010.5,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2010,2010,kg/ha,5025.3,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2011,2011,kg/ha,4999.5,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2012,2012,kg/ha,5151,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2013,2013,kg/ha,5166.8,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2014,2014,kg/ha,5147.7,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2015,2015,kg/ha,5358.8,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2016,2016,kg/ha,5097.3,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2017,2017,kg/ha,5069,E,Estimated value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2018,2018,kg/ha,5203.1,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2019,2019,kg/ha,5113.7,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2020,2020,kg/ha,5127.9,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2021,2021,kg/ha,5226.3,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2022,2022,kg/ha,5237.8,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2023,2023,kg/ha,5285.2,A,Official value,
QCL,Crops and livestock products,360,Indonesia,5412,Yield,113,Rice,2024,2024,kg/ha,5289.9,A,Official value,
